,Mot1,Mot2,Cat1,Cat2,Sem1,Sem2
13,abaisseur,abaissement,Ncms,Ncms,@AGM,@ACT
14,abaisseur,abaissement,Ncms,Ncms,@AGM,@RES
15,abaisseur,abaisser,Ncms,Vmn----,@AGM,@
27,abandonnateur,abandonner,Ncms,Vmn----,@AGM,@
46,abandonneur,abandonnement,Ncms,Ncms,@AGM,@ACT
47,abandonneur,abandonnement,Ncms,Ncms,@AGM,@RES
48,abandonneur,abandonner,Ncms,Vmn----,@AGM,@
49,abandonneur,abandonneuse,Ncms,Ncfs,@AGM,@AGF
50,abandonneuse,abandonnement,Ncfs,Ncms,@AGF,@ACT
51,abandonneuse,abandonnement,Ncfs,Ncms,@AGF,@RES
52,abandonneuse,abandonner,Ncfs,Vmn----,@AGF,@
53,abandonneuse,abandonneur,Ncfs,Ncms,@AGF,@AGM
92,abatteur,abattre,Ncms,Vmn----,@AGM,@
93,abatteuse,abattage,Ncfs,Ncms,@AGF,@ACT
94,abatteuse,abattage,Ncfs,Ncms,@AGF,@RES
95,abatteuse,abattement,Ncfs,Ncms,@AGF,@ACT
96,abatteuse,abattement,Ncfs,Ncms,@AGF,@RES
97,abatteuse,abattre,Ncfs,Vmn----,@AGF,@
126,abducteur,abduction,Ncms,Ncfs,@AGM,@ACT
127,abducteur,abduction,Ncms,Ncfs,@AGM,@RES
166,abecqueuse,abecquage,Ncfs,Ncms,@AGF,@ACT
167,abecqueuse,abecquage,Ncfs,Ncms,@AGF,@RES
168,abecqueuse,abecquer,Ncfs,Vmn----,@AGF,@
181,abéqueuse,abéquage,Ncfs,Ncms,@AGF,@ACT
182,abéqueuse,abéquage,Ncfs,Ncms,@AGF,@RES
183,abéqueuse,abéquer,Ncfs,Vmn----,@AGF,@
317,abordeur,abordage,Ncms,Ncms,@AGM,@ACT
318,abordeur,abordage,Ncms,Ncms,@AGM,@RES
319,abordeur,aborder,Ncms,Vmn----,@AGM,@
320,abordeur,aborder,Ncms,Vmn----,@AGM,@
365,aboucheur,abouchement,Ncms,Ncms,@AGM,@ACT
366,aboucheur,abouchement,Ncms,Ncms,@AGM,@RES
367,aboucheur,aboucher,Ncms,Vmn----,@AGM,@
368,aboucheur,aboucher,Ncms,Vmn----,@AGM,@
420,aboyeur,aboiement,Ncms,Ncms,@AGM,@ACT
421,aboyeur,aboiement,Ncms,Ncms,@AGM,@RES
422,aboyeur,aboyer,Ncms,Vmn----,@AGM,@
423,aboyeur,aboyer,Ncms,Vmn----,@AGM,@
424,aboyeur,aboyeuse,Ncms,Ncfs,@AGM,@AGF
425,aboyeuse,aboiement,Ncfs,Ncms,@AGF,@ACT
426,aboyeuse,aboiement,Ncfs,Ncms,@AGF,@RES
427,aboyeuse,aboyer,Ncfs,Vmn----,@AGF,@
428,aboyeuse,aboyer,Ncfs,Vmn----,@AGF,@
429,aboyeuse,aboyeur,Ncfs,Ncms,@AGF,@AGM
456,abréacteur,abréaction,Ncms,Ncfs,@AGM,@ACT
457,abréacteur,abréaction,Ncms,Ncfs,@AGM,@RES
497,abreuveur,abreuvage,Ncms,Ncms,@AGM,@ACT
498,abreuveur,abreuvage,Ncms,Ncms,@AGM,@RES
499,abreuveur,abreuver,Ncms,Vmn----,@AGM,@
500,abreuveur,abreuver,Ncms,Vmn----,@AGM,@
501,abréviateur,abréger,Ncms,Vmn----,@AGM,@
502,abréviateur,abréviatif,Ncms,Afpms,@AGM,@PRP
503,abréviateur,abréviation,Ncms,Ncfs,@AGM,@ACT
504,abréviateur,abréviation,Ncms,Ncfs,@AGM,@RES
556,abrutisseur,abrutir,Ncms,Vmn----,@AGM,@
557,abrutisseur,abrutir,Ncms,Vmn----,@AGM,@
558,abrutisseur,abrutissement,Ncms,Ncms,@AGM,@ACT
559,abrutisseur,abrutissement,Ncms,Ncms,@AGM,@RES
576,absintheur,absinther,Ncms,Vmn----,@AGM,@
577,absintheur,absintheuse,Ncms,Ncfs,@AGM,@AGF
578,absintheuse,absinther,Ncfs,Vmn----,@AGF,@
579,absintheuse,absintheur,Ncfs,Ncms,@AGF,@AGM
580,absoluteur,absolutif,Ncms,Afpms,@AGM,@PRP
581,absoluteur,absolution,Ncms,Ncfs,@AGM,@ACT
582,absoluteur,absolution,Ncms,Ncfs,@AGM,@RES
583,absoluteur,absolutrice,Ncms,Ncfs,@AGM,@AGF
584,absoluteur,absoudre,Ncms,Vmn----,@AGM,@
604,absolutrice,absoluteur,Ncfs,Ncms,@AGF,@AGM
605,absolutrice,absolutif,Ncfs,Afpms,@AGF,@PRP
606,absolutrice,absolution,Ncfs,Ncfs,@AGF,@ACT
607,absolutrice,absolution,Ncfs,Ncfs,@AGF,@RES
608,absolutrice,absoudre,Ncfs,Vmn----,@AGF,@
627,absorbeur,absorber,Ncms,Vmn----,@AGM,@
658,abstracteur,abstractif,Ncms,Afpms,@AGM,@PRP
659,abstracteur,abstraction,Ncms,Ncfs,@AGM,@ACT
