ID,GENDERTERMS,POS
it-0651,adulta adulto,Noun
it-0346,ragazzo ragazza,Noun
it-0338,sceriffo sceriffa,Noun
it-0341,sviluppatore sviluppatrice,Noun
it-0442,ebrea ebreo,Noun
it-1038,giurato giurata,Noun
it-1069,laureata laureato,Noun
it-0925,lavoratrici lavoratori,Noun
it-0448,maestra maestro,Noun
it-0237,infermiera infermiere,Noun
it-0337,vice-sceriffo vice-sceriffa,Noun
it-0355,programmatori programmatrici,Noun
it-0356,imprenditore imprenditrice,Noun
it-0417,figlia figlio,Noun
it-0418,fiiglia figlio,Noun
it-0427,cretino cretina,Noun
it-0533,candidati candidate,Noun
it-0564,ragazzina ragazzino,Noun
it-0790,fiiglia figlio,Noun
it-0878,chirurgo chirurga,Noun
it-0091,volontario volontaria,Noun
it-0686,fiiglia figlio,Noun
it-0749,negro negra,Noun
it-0970,scrittrice scrittore,Noun
it-0308,studente studentessa,Noun
it-0424,infermiera infermiere,Noun
it-0507,difensore difenditrice,Noun
it-0614,rifugiato rifugiata,Noun
it-0284,studentessa studente,Noun
it-1083,programmatore programmatrice,Noun
it-0832,esperta esperto,Noun
,presentatrice presentatore,Noun
it-0425,infermiera infermiere,Noun
it-0322,delle dei;sue suoi;care cari;amiche amici;queste questi;anziane anziani;organizzatrice organizzatore;straordinaria straordinario;afroamericana afroamericano;una un;bianca bianco,Art/Prep;Adj-determiner;Adj-descriptive;Noun;Adj-determiner;Adj-descriptive;Noun;Adj-descriptive;Adj-descriptive;Art/Prep;Adj-descriptive
it-0037,il la;mio mia;caro cara;amico amica;il la;truccatore truccatrice,Art/Prep;Adj-determiner;Adj-descriptive;Noun;Art/Prep;Noun
it-0833,Il La;mio mia;geloso gelosa;ex-fidanzato ex-fidanzata;un una;manipolatore manipolatrice;uno una,Art/Prep;Adj-determiner;Adj-descriptive;Noun;Art/Prep;Noun;Art/Prep
it-0140,capo capa,Noun
it-0169,amico amica,Noun
it-0227,supervisore supervisora,Noun
it-0229,del della;mio mia;supervisore supervisora,Art/Prep;Adj-determiner;Noun
it-0248,del della;mio mia;supervisore supervisora,Art/Prep;Adj-determiner;Noun
