Anno;ateco_UL_2007_2cifre;descriz_ateco_UL_2007_2cifre;ateco_UL_2007_5cifre;descriz_ateco_UL_2007-5cifre;N.unità locali;N.addetti_UL
2007;1;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;1620;Attività di supporto alla produzione animale (esclusi i servizi veterinari);1;1
2007;2;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI;2200;Utilizzo di aree forestali;1;1
2007;6;ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE;6200;Estrazione di gas naturale;3;1272,41
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8110;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia;8;13,15
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8120;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino";20;82,82
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8930;Estrazione di sale;2;2
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8990;Estrazione di altri minerali nca;7;31,48
2007;9;ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE;9100;Attività di supporto all'estrazione di petrolio e di gas naturale;1;1,31
2007;10;INDUSTRIE ALIMENTARI;10110;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi);13;45,28
2007;10;INDUSTRIE ALIMENTARI;10130;Produzione di prodotti a base di carne (compresa la carne di volatili);13;64,2
2007;10;INDUSTRIE ALIMENTARI;10200;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera;4;49,2
2007;10;INDUSTRIE ALIMENTARI;10310;Lavorazione e conservazione delle patate;1;1
2007;10;INDUSTRIE ALIMENTARI;10320;Produzione di succhi di frutta e di ortaggi;1;1,2
2007;10;INDUSTRIE ALIMENTARI;10390;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi);16;85,69
2007;10;INDUSTRIE ALIMENTARI;10411;Produzione di olio di oliva da olive prevalentemente non di produzione propria;4;4,78
2007;10;INDUSTRIE ALIMENTARI;10420;Produzione di margarina e di grassi commestibili simili;1;1
2007;10;INDUSTRIE ALIMENTARI;10511;Trattamento igienico del latte;4;197,37
2007;10;INDUSTRIE ALIMENTARI;10512;Produzione dei derivati del latte;12;800,69
2007;10;INDUSTRIE ALIMENTARI;10520;Produzione di gelati senza vendita diretta al pubblico;19;79,09
2007;10;INDUSTRIE ALIMENTARI;10611;Molitura del frumento;1;1
2007;10;INDUSTRIE ALIMENTARI;10613;Lavorazione del riso;6;72,25
2007;10;INDUSTRIE ALIMENTARI;10620;Produzione di amidi e di prodotti amidacei (compresa produzione di olio di mais);2;112,82
2007;10;INDUSTRIE ALIMENTARI;10711;Produzione di prodotti di panetteria freschi;408;1643,16
2007;10;INDUSTRIE ALIMENTARI;10712;Produzione di pasticceria fresca;107;405,49
2007;10;INDUSTRIE ALIMENTARI;10720;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati";12;458,7
2007;10;INDUSTRIE ALIMENTARI;10730;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili;47;107,5
2007;10;INDUSTRIE ALIMENTARI;10820;Produzione di cacao in polvere, cioccolato, caramelle e confetterie;15;1373,6
2007;10;INDUSTRIE ALIMENTARI;10830;Lavorazione del tè e del caffè;16;68,9
2007;10;INDUSTRIE ALIMENTARI;10840;Produzione di condimenti e spezie;5;20,39
2007;10;INDUSTRIE ALIMENTARI;10850;Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati);4;8,92
2007;10;INDUSTRIE ALIMENTARI;10860;Produzione di preparati omogeneizzati e di alimenti dietetici;7;91,8
2007;10;INDUSTRIE ALIMENTARI;10890;Produzione di altri prodotti alimentari nca;61;265,33
2007;10;INDUSTRIE ALIMENTARI;10910;Produzione di mangimi per l'alimentazione degli animali da allevamento;7;47,74
2007;10;INDUSTRIE ALIMENTARI;10920;Produzione di prodotti per l'alimentazione degli animali da compagnia;3;105,95
2007;11;INDUSTRIA DELLE BEVANDE;11010;Distillazione, rettifica e miscelatura degli alcolici;6;263,77
2007;11;INDUSTRIA DELLE BEVANDE;11021;Produzione di vini da tavola e v.p.q.r.d.;4;5,54
2007;11;INDUSTRIA DELLE BEVANDE;11022;Produzione di vino spumante e altri vini speciali;2;2,2
2007;11;INDUSTRIA DELLE BEVANDE;11050;Produzione di birra;1;412,55
2007;11;INDUSTRIA DELLE BEVANDE;11070;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia;9;913,25
2007;13;INDUSTRIE TESSILI;13100;Preparazione e filatura di fibre tessili;34;229,07
2007;13;INDUSTRIE TESSILI;13200;Tessitura;37;385,31
2007;13;INDUSTRIE TESSILI;13300;Finissaggio dei tessili;29;174,77
2007;13;INDUSTRIE TESSILI;13910;Fabbricazione di tessuti a maglia;16;43,73
2007;13;INDUSTRIE TESSILI;13921;Confezionamento di biancheria da letto, da tavola e per l'arredamento;60;199,94
2007;13;INDUSTRIE TESSILI;13922;Fabbricazione di articoli in materie tessili nca;63;162,28
2007;13;INDUSTRIE TESSILI;13930;Fabbricazione di tappeti e moquette;2;3,92
2007;13;INDUSTRIE TESSILI;13940;Fabbricazione di spago, corde, funi e reti;4;21,14
2007;13;INDUSTRIE TESSILI;13950;Fabbricazione di tessuti non tessuti e di articoli in tali materie, esclusi gli articoli di abbigliamento;7;110,27
2007;13;INDUSTRIE TESSILI;13961;Fabbricazione di nastri, etichette e passamanerie di fibre tessili;16;96,71
2007;13;INDUSTRIE TESSILI;13962;Fabbricazione di altri articoli tessili tecnici ed industriali;34;102,26
2007;13;INDUSTRIE TESSILI;13991;Fabbricazione di ricami;13;23,33
2007;13;INDUSTRIE TESSILI;13992;Fabbricazione di tulle, pizzi e merletti;17;87,4
2007;13;INDUSTRIE TESSILI;13999;Fabbricazione di feltro e articoli tessili diversi;1;1
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14110;Confezione di abbigliamento in pelle e similpelle;22;53,94
