,top_p,top_k,model,Theme,prompt,output
0,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ," Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car,je suis une personne dynamique et à l'écoute des enfants."
1,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ," Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, à la fois sérieuse et dynamique, je possède également des qualités humaines."
2,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ," Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis passionné par la psychopédagogie et le théâtre, mais aussi par l'accompagnement scolaire."
3,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car "," En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai toujours été passionné par l'éducation et le développement des enfants, je suis une personne dynamique et ambitieuse."
4,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car "," En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je sais mettre en place un enseignement adapté à la problématique du collège et je suis prête à relever des défis."
5,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car "," En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car tôt ou tard, je souhaiterais intégrer une classe de maternelle. Je suis disponible pour l'instant, mais je ne suis pas du tout fermée à l'idée d'une reconversion professionnelle."
6,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car , Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car. Je suis également passionnée de bricolage.
7,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ," Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis dynamique, dynamique et motivée pour travailler dans votre centre de loisirs et de l'enfance à proximité de La Rochelle."
8,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ," Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis dynamique et à l'écoute de l'enfant, j'ai une bonne organisation, je suis à l'écoute et je sais gérer les situations et les personnes."
9,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car "," En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, selon moi, j'ai les qualités pour vous occuper des enfants et je me chargerai des activités de l'école."
10,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car "," En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement dynamique et responsable. J'ai également une bonne connaissance des enfants de 2 à 6 ans. J'ai le goût des contacts humains et j'aime la nature. Je vous invite à découvrir mon profil sur notre site. Je vous remercie par avance de votre réponse."
11,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car "," En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car venant du secteur sanitaire. Je suis très dynamique et souriante."
12,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car , Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement intéressé par le milieu du sport.
13,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ," Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement attirée par ce type d'emplois, et par la diversité de l'enseignement."
14,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ," Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement intéressée par les métiers de l'enfance. Je sais faire preuve d'empathie, de patience et ai l'habitude de travailler en équipe. Je suis également très à l'écoute des enfants et des parents."
15,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car "," En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement motivée par le fait de travailler en tant que professeur."
