theme,gap,neutre
boulangerie - viennoiserie,91.7,8.3
gestion de portefeuilles sur les marchés financiers,91.3,8.7
direction de chantier du btp,91.3,8.7
bûcheronnage et élagage,91.3,8.7
qualité sécurité environnement et protection santé du btp,90.9,9.1
physique,90.5,9.5
travail du bois et de l'ameublement,87.5,12.5
"réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",87.5,8.3
recherche agronomique,87.5,12.5
physique-chimie,87.5,4.2
philosophie du langage,87.5,12.5
management d'hôtel-restaurant,87.5,4.2
ingénierie et études du btp,87.5,8.3
construction de décors de spectacle,87.5,12.5
"commerce, vente",87.5,12.5
soudage manuel,87.0,13.0
"installation et maintenance en froid, conditionnement d'air",87.0,13.0
gardiennage de locaux,87.0,13.0
assistance médico-technique,87.0,13.0
agriculture,87.0,13.0
maintenance informatique et bureautique,86.4,13.6
géographie de l'aménagement et du développement,86.4,13.6
conduite d'engins de chantier,86.4,13.6
"assistance informatique, maintenance de logiciels et réseaux",86.4,13.6
élevage bovin ou équin,85.7,14.3
maçonnerie,85.7,14.3
conduite d'engins agricoles et forestiers,85.7,14.3
pose de canalisations,85.0,15.0
méthodes et gestion de production en chaudronnerie et métallerie,85.0,15.0
vente technico-commerciale des produits de la forêt et de la pêche,83.3,8.3
sommellerie,83.3,16.7
reprographie,83.3,16.7
relation commerciale en vente de véhicules,83.3,8.3
production et exploitation de systèmes d'information,83.3,12.5
médecine généraliste et spécialisée,83.3,8.3
mécanique aéronautique et spatiale,83.3,16.7
montage audiovisuel et post-production,83.3,8.3
machinerie spectacle,83.3,16.7
fabrication et affinage de fromages,83.3,8.3
direction de laboratoire d'analyse industrielle,83.3,16.7
biologie médicale,83.3,4.2
économie,82.7,8.7
transaction immobilière,82.7,8.7
management d'établissement de restauration collective,82.7,8.7
gestion touristique et hôtelière,82.7,8.7
conseil en gestion de patrimoine financier,82.7,8.7
trésorerie et financement,82.6,17.4
service en restauration,82.6,17.4
préparation en pharmacie,82.6,17.4
informatique en biologie,82.6,17.4
histoire,82.6,13.0
encadrement de la navigation maritime,82.6,17.4
droit de la sécurité et de la défense,82.6,17.4
direction administrative et financière,82.6,13.0
comptabilité,81.9,9.1
éclairage spectacle,81.8,18.2
prise de son et sonorisation,81.8,18.2
"littérature appliquée à la documentation, communication, lettres et enseignement",81.8,13.6
image cinématographique et télévisuelle,81.8,18.2
chaudronnerie - tôlerie,81.0,14.3
régie générale,79.2,20.8
"recherche en sciences de l'univers,de la matière et du vivant",79.2,20.8
"philosophie, éthique et théologie",79.2,20.8
personnel polyvalent d'hôtellerie,79.2,20.8
météorologie,79.2,20.8
"informatique, traitement de l'information",79.2,16.7
intervention socioéducative,79.1,12.5
droit pénal,79.1,8.3
courtage en assurances,79.1,12.5
réparation de carrosserie,78.3,21.7
protection du patrimoine naturel,78.3,13.0
pharmacie,78.3,13.0
mathématiques,78.3,13.0
management des ressources humaines,78.3,21.7
langues et civilisations anciennes,78.3,21.7
design industriel,78.3,13.0
"construction, bâtiment et travaux publics",78.3,21.7
conseil en information médicale,78.3,13.0
conseil clientèle en assurances,78.3,21.7
charcuterie - traiteur,78.3,21.7
"surveillance et protection de la forêt, de la faune sauvage et des espaces naturels",77.3,22.7
sciences des ressources agro-alimentaires,77.3,22.7
réalisation et montage en tuyauterie,77.3,22.7
négociation et vente,77.3,22.7
mécanique générale et de précision,77.3,22.7
"français, littérature et civilisation française",77.3,13.6
chimie,77.3,22.7
éducation en activités sportives,75.0,16.7
réalisation cinématographique et audiovisuelle,75.0,25.0
personnel de la défense,75.0,20.8
médecine dentaire,75.0,25.0
musique et chant,75.0,4.2
fabrication et réparation d'instruments de musique,75.0,25.0
biologie de l'agronomie et de l'agriculture,75.0,16.7
arboriculture et viticulture,75.0,20.8
analyse de crédits et risques bancaires,75.0,16.7
sciences de la terre,74.0,17.4
gérance immobilière,74.0,17.4
fabrication textile,74.0,13.0
esthétique,74.0,13.0
biochimie appliquée aux procédés industriels,74.0,17.4
techniques de l'imprimerie et de l'édition,73.9,21.7
"recherche en sciences de l'univers, de la matière et du vivant",73.9,26.1
navigation fluviale,73.9,26.1
information météorologique,73.9,21.7
gestion en banque et assurance,73.9,26.1
conduite de grue,73.9,21.7
enseignement des écoles,72.8,18.2
droit de la santé,72.8,13.6
psychopédagogie,72.7,9.1
poissonnerie,72.7,27.3
organisation d'évènementiel,72.7,9.1
maquillage de scène,72.7,22.7
assistance de direction d'hôtel-restaurant,71.4,19.0
"droit, sciences politiques",70.8,20.8
conseil en organisation et management d'entreprise,70.8,29.2
magistrature,69.60000000000001,21.7
linguistique,69.60000000000001,21.7
droit des affaires,69.60000000000001,21.7
"réalisation d'ouvrages en bijouterie,joaillerie et orfèvrerie",69.6,26.1
photographie,69.6,26.1
métré en métallerie,69.6,30.4
géologie de l'environnement,69.6,21.7
entretien des espaces naturels,69.6,30.4
droit fiscal,69.6,30.4
boucherie,69.6,26.1
epistémologie des sciences humaines,68.2,22.7
electricité électronique,68.2,31.8
"coiffure, esthétique et autres spécialites de services aux personnes",68.2,18.2
"chimie-biologie, biochimie",68.2,22.7
vente en alimentation,66.7,25.0
services domestiques,66.7,12.5
restauration des oeuvres d'art,66.7,33.3
psychologie,66.7,25.0
optique - lunetterie,66.7,23.8
linguistique et didactique des langues,66.7,28.6
"langues vivantes, civilisations étrangères et régionales",66.7,16.7
journalisme et information média,66.6,25.0
animation touristique et culturelle,66.6,25.0
aménagement paysager,66.6,25.0
gestion de patrimoine culturel,65.3,26.1
géographie,65.2,30.4
films d'animation et effets spéciaux,65.2,34.8
développement et protection du patrimoine culturel,65.2,8.7
architecture du btp et du paysage,65.2,34.8
accueil touristique,65.2,13.0
métallurgie,64.6,35.4
animation musicale et scénique,63.7,22.7
défense et conseil juridique,63.6,36.4
psychologie clinique,62.5,8.3
