theme,gap,neutre
manutenzione e riparazione di autoveicoli,71.4,28.6
"attività di produzione cinematografica, di video e di programmi televisivi",63.10000000000001,28.3
attività fotografiche,63.0,32.6
fabbricazione di strumenti musicali,60.4,39.6
fabbricazione di aeromobili,59.6,40.4
fabbricazione di veicoli militari da combattimento,59.1,36.4
allevamento di bovini da latte,58.7,37.0
attività delle banche centrali,56.8,40.9
installazione di impianti elettrici,56.5,43.5
ricerche di mercato e sondaggi di opinione,55.800000000000004,34.9
attività dei vigili del fuoco e della protezione civile,55.6,42.2
lavori di costruzione e installazione,55.300000000000004,36.2
lavori di meccanica generale,53.1,36.2
edizione di giochi per computer,52.2,37.0
riparazione di computer e periferiche,52.1,47.9
costruzione di ponti e gallerie,51.099999999999994,37.2
servizi degli studi medici di medicina generale,51.0,40.4
realizzazione di coperture,50.0,45.5
fusione di acciaio,50.0,43.2
attività di musei,50.0,45.2
servizi investigativi privati,48.9,40.0
attività sportive,48.8,39.5
acquacoltura marina,47.9,47.9
servizi veterinari,47.8,32.6
ricerca e sviluppo sperimentale nel campo delle biotecnologie,47.8,39.1
attività degli studi odontoiatrici,46.8,29.8
attività degli studi legali e notarili,45.5,45.5
attività generali di amministrazione pubblica,44.699999999999996,48.9
ordine pubblico e sicurezza nazionale,43.5,47.8
attività degli studi di architettura,43.5,37.0
affari esteri,43.2,50.0
ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche,42.199999999999996,37.8
telecomunicazione,41.699999999999996,50.0
attività di servizi per la persona,41.3,41.3
commercio di altri autoveicoli,40.900000000000006,45.5
giustizia ed attività giudiziarie,39.599999999999994,43.8
attività di mediazione immobiliare,39.099999999999994,43.5
consulenza nel settore delle tecnologie dell'informatica,38.7,43.2
pubbliche relazioni e comunicazione,38.300000000000004,53.2
attività di pulizia,37.0,37.0
fabbricazione di profumi e cosmetici,36.9,37.0
edizione di libri,36.9,39.1
attività dei servizi connessi alle tecnologie dell'informatica,36.4,36.4
amministrazione di mercati finanziari,34.8,47.8
rappresentazioni artistiche,34.0,53.2
pesca marina,32.0,46.8
attività delle agenzie di viaggio,31.900000000000002,40.4
attività editoriali,30.2,37.2
attività ricreative e di divertimento,29.5,52.3
traduzione e interpretariato,28.9,46.7
servizi di asili nido,25.0,47.7
servizi di assistenza sanitaria,24.0,41.3
attività di biblioteche ed archivi,16.700000000000003,60.4
servizi ospedalieri,15.599999999999998,53.3
servizi dei parrucchieri e di altri trattamenti estetici,13.100000000000001,56.5
